<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.10.21	1.30627	1.30894	1.27763	1.28311	630353	0	3
2018.10.28	1.28244	1.30404	1.26936	1.29684	575022	0	5
2018.11.04	1.30226	1.31740	1.29637	1.29732	532814	0	5
2018.11.11	1.29145	1.30713	1.27223	1.28295	644693	0	5
2018.11.18	1.28307	1.29267	1.27635	1.28086	414486	0	4
2018.11.25	1.28222	1.28634	1.27245	1.27427	537773	0	3
2018.12.02	1.27430	1.28393	1.26579	1.27487	595192	0	3
2018.12.09	1.27032	1.27593	1.24756	1.25798	635421	0	3
2018.12.16	1.25992	1.27065	1.25437	1.26307	620266	0	6
2018.12.23	1.26197	1.27378	1.26151	1.26913	342374	0	3
2018.12.30	1.26907	1.28137	1.23953	1.27373	366650	0	4
2019.01.06	1.27160	1.28654	1.27060	1.28434	467422	0	3
2019.01.13	1.28502	1.30002	1.26677	1.28697	491342	0	6
2019.01.20	1.28714	1.31981	1.28297	1.31962	500244	0	8
2019.01.27	1.31837	1.32104	1.30426	1.30813	525780	0	4
2019.02.03	1.30614	1.31028	1.28532	1.29336	402951	0	4
2019.02.10	1.29278	1.29581	1.27722	1.28806	433002	0	4
2019.02.17	1.29022	1.31084	1.28908	1.30580	446166	0	6
2019.02.24	1.30679	1.33494	1.30453	1.31910	513793	0	6
2019.03.03	1.32426	1.32536	1.29892	1.30145	498735	0	6
2019.03.10	1.29833	1.33807	1.29594	1.32907	578557	0	8
2019.03.17	1.32953	1.33106	1.30032	1.31961	539252	0	6
2019.03.24	1.32089	1.32687	1.29767	1.30171	577548	0	4
2019.03.31	1.30381	1.31955	1.29862	1.30255	529701	0	3
2019.04.07	1.30337	1.31322	1.30215	1.30773	443886	0	5
2019.04.14	1.30706	1.31184	1.29782	1.29900	459870	0	8
2019.04.21	1.29812	1.30187	1.28650	1.29230	380179	0	3
2019.04.28	1.29147	1.31760	1.29034	1.31648	403937	0	5
2019.05.05	1.31434	1.31700	1.29667	1.30085	463671	0	6
2019.05.12	1.29923	1.30400	1.27185	1.27243	377646	0	5
2019.05.19	1.27287	1.28131	1.26045	1.27141	415044	0	5
2019.05.26	1.27264	1.27472	1.25583	1.26336	405792	0	6
2019.06.02	1.26291	1.27625	1.26097	1.27362	481747	0	4
2019.06.09	1.27231	1.27579	1.25809	1.25875	490619	0	5
2019.06.16	1.25782	1.27390	1.25053	1.27354	513540	0	4
2019.06.23	1.27324	1.27832	1.26601	1.26956	475927	0	6
2019.06.30	1.26943	1.27050	1.24805	1.25246	375344	0	6
2019.07.07	1.25239	1.25754	1.24391	1.25708	339086	0	3
2019.07.14	1.25403	1.25779	1.23817	1.24974	331014	0	3
2019.07.21	1.24896	1.25223	1.23759	1.23862	308750	0	3
2019.07.28	1.23744	1.23828	1.20792	1.21609	403720	0	2
2019.08.04	1.21162	1.22094	1.20477	1.20517	450415	0	3
2019.08.11	1.20398	1.21751	1.20148	1.21505	484417	0	3
2019.08.18	1.21467	1.22873	1.20640	1.22862	436816	0	3
2019.08.25	1.22675	1.23093	1.21391	1.21499	539025	0	2
2019.09.01	1.21395	1.23533	1.19579	1.22934	548537	0	2
2019.09.08	1.22710	1.24801	1.22330	1.24748	402017	0	2
2019.09.15	1.24967	1.25813	1.23918	1.24753	324579	0	2
2019.09.22	1.24644	1.25026	1.22702	1.22907	309370	0	2
2019.09.29	1.22784	1.24129	1.22043	1.23268	317481	0	2
2019.10.06	1.23012	1.27071	1.21950	1.26523	345488	0	2
2019.10.13	1.26210	1.29889	1.25158	1.29426	428904	0	1
2019.10.20	1.29477	1.30120	1.27881	1.28268	373751	0	1
2019.10.27	1.28128	1.29755	1.28064	1.29398	311480	0	1
2019.11.03	1.29264	1.29425	1.27684	1.27831	257795	0	2
2019.11.10	1.27732	1.29188	1.27732	1.29011	220447	0	2
2019.11.17	1.29200	1.29850	1.28226	1.28332	232619	0	2
2019.11.24	1.28523	1.29507	1.28268	1.29313	222489	0	2
2019.12.01	1.29088	1.31663	1.28957	1.31352	221267	0	2
2019.12.08	1.31336	1.35143	1.30492	1.33370	288589	0	2
2019.12.15	1.33353	1.34221	1.29896	1.30123	291342	0	2
2019.12.22	1.29940	1.31170	1.29049	1.30920	171582	0	2
2019.12.29	1.30691	1.32842	1.30532	1.30760	209268	0	2
2020.01.05	1.30781	1.32119	1.30130	1.30594	273281	0	1
2020.01.12	1.30364	1.31187	1.29541	1.30158	249423	0	1
2020.01.19	1.29985	1.31724	1.29618	1.30799	266746	0	1
2020.01.26	1.30754	1.31997	1.29753	1.31959	298977	0	1
2020.02.02	1.31701	1.31841	1.28900	1.28900	304523	0	1
2020.02.09	1.28864	1.30692	1.28717	1.30307	301553	0	1
2020.02.16	1.30324	1.30536	1.28489	1.29743	293198	0	1
2020.02.23	1.29426	1.30178	1.27255	1.27937	402522	0	1
2020.03.01	1.27918	1.30491	1.27379	1.30170	364317	0	1
2020.03.08	1.30754	1.31997	1.22757	1.23213	752954	0	1
2020.03.15	1.24107	1.24200	1.14098	1.15765	875656	0	1
2020.03.22	1.16745	1.24852	1.14463	1.24680	782658	0	1
2020.03.29	1.24174	1.24750	1.22049	1.22808	502517	0	1
2020.04.05	1.22204	1.24865	1.21645	1.24713	323629	0	1
2020.04.12	1.24536	1.26471	1.24064	1.24930	483713	0	1
2020.04.19	1.24916	1.24998	1.22470	1.23542	498118	0	1
2020.04.26	1.23614	1.26426	1.23594	1.24862	341588	0	1
2020.05.03	1.24823	1.24865	1.22658	1.24077	270632	0	1
2020.05.10	1.23952	1.24372	1.21137	1.21255	306876	0	1
2020.05.17	1.20852	1.22961	1.20739	1.21816	272247	0	1
2020.05.24	1.21716	1.23938	1.21628	1.23101	326234	0	1
2020.05.31	1.23231	1.27309	1.23231	1.26711	378506	0	1
