<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.03.26	1.18781	1.22289	1.17761	1.21547	153930	0	1
2020.03.27	1.21547	1.24852	1.21301	1.24680	148282	0	1
2020.03.30	1.24174	1.24668	1.23169	1.24171	110477	0	1
2020.03.31	1.24043	1.24726	1.22436	1.24163	124197	0	1
2020.04.01	1.24219	1.24382	1.23299	1.23730	93664	0	1
2020.04.02	1.23730	1.24750	1.23496	1.23925	95238	0	1
2020.04.03	1.23953	1.24058	1.22049	1.22808	78941	0	1
2020.04.06	1.22204	1.23264	1.22095	1.22291	80623	0	1
2020.04.07	1.22284	1.23839	1.21645	1.23297	84701	0	1
2020.04.08	1.23295	1.24196	1.22877	1.23808	63135	0	1
2020.04.09	1.23749	1.24832	1.23600	1.24525	76642	0	1
2020.04.10	1.24492	1.24865	1.24343	1.24713	18528	0	1
2020.04.13	1.24536	1.25365	1.24490	1.25002	61683	0	1
2020.04.14	1.25002	1.26471	1.24896	1.26233	110741	0	1
2020.04.15	1.26120	1.26303	1.24362	1.25105	105125	0	1
2020.04.16	1.25108	1.25273	1.24078	1.24551	108131	0	1
2020.04.17	1.24550	1.25223	1.24064	1.24930	98033	0	1
2020.04.20	1.24916	1.24998	1.24160	1.24321	85781	0	1
2020.04.21	1.24319	1.24457	1.22470	1.22879	123399	0	1
2020.04.22	1.22772	1.23856	1.22741	1.23321	92136	0	1
2020.04.23	1.23321	1.24147	1.23074	1.23434	113842	0	1
2020.04.24	1.23432	1.23769	1.22977	1.23542	82960	0	1
2020.04.27	1.23614	1.24543	1.23594	1.24282	78707	0	1
2020.04.28	1.24259	1.25178	1.24034	1.24229	68288	0	1
2020.04.29	1.24201	1.24849	1.23886	1.24691	65500	0	1
2020.04.30	1.24653	1.26426	1.24289	1.25900	78636	0	1
2020.05.01	1.25891	1.25998	1.24846	1.24862	50457	0	1
2020.05.04	1.24823	1.24865	1.24050	1.24420	52665	0	1
2020.05.05	1.24422	1.24834	1.24202	1.24331	56872	0	1
2020.05.06	1.24323	1.24499	1.23348	1.23390	52422	0	1
2020.05.07	1.23388	1.24181	1.22658	1.23522	64340	0	1
2020.05.08	1.23525	1.24669	1.23384	1.24077	44333	0	1
2020.05.11	1.23952	1.24372	1.22828	1.23318	56439	0	1
2020.05.12	1.23294	1.23771	1.22550	1.22576	58582	0	1
2020.05.13	1.22563	1.23396	1.22099	1.22231	67905	0	1
2020.05.14	1.22180	1.22414	1.21654	1.22228	63126	0	1
2020.05.15	1.22216	1.22389	1.21137	1.21255	60824	0	1
2020.05.18	1.20852	1.22274	1.20739	1.21937	60389	0	1
2020.05.19	1.21932	1.22961	1.21837	1.22502	57938	0	1
2020.05.20	1.22498	1.22874	1.22211	1.22363	52724	0	1
2020.05.21	1.22360	1.22493	1.21852	1.22161	52692	0	1
2020.05.22	1.22150	1.22335	1.21613	1.21816	48504	0	1
2020.05.25	1.21716	1.22033	1.21628	1.21799	35930	0	1
2020.05.26	1.21795	1.23628	1.21765	1.23341	59540	0	1
2020.05.27	1.23247	1.23540	1.22040	1.22578	78677	0	1
2020.05.28	1.22596	1.23442	1.22335	1.23176	69580	0	1
2020.05.29	1.23145	1.23938	1.22900	1.23101	82507	0	1
2020.06.01	1.23231	1.25063	1.23231	1.24874	68129	0	1
2020.06.02	1.24864	1.25755	1.24782	1.25492	75153	0	1
2020.06.03	1.25486	1.26152	1.25434	1.25713	80318	0	1
2020.06.04	1.25712	1.26331	1.25005	1.25932	79214	0	1
2020.06.05	1.25947	1.27309	1.25827	1.26711	75692	0	1
2020.06.08	1.26690	1.27354	1.26278	1.27214	60121	0	1
2020.06.09	1.27218	1.27552	1.26175	1.27271	72125	0	1
2020.06.10	1.27301	1.28129	1.27058	1.27467	89342	0	1
2020.06.11	1.27452	1.27540	1.25861	1.26010	106433	0	1
2020.06.12	1.25990	1.26531	1.24735	1.24886	99887	0	1
2020.06.15	1.25094	1.26061	1.24540	1.26039	97262	0	1
2020.06.16	1.26043	1.26872	1.25521	1.25721	97769	0	1
2020.06.17	1.25720	1.25882	1.25108	1.25550	79626	0	1
2020.06.18	1.25535	1.25667	1.24012	1.24231	77475	0	1
2020.06.19	1.24233	1.24557	1.23437	1.23562	63499	0	1
2020.06.22	1.23410	1.24767	1.23350	1.24672	57113	0	1
2020.06.23	1.24666	1.25316	1.24317	1.25187	75438	0	1
2020.06.24	1.25178	1.25425	1.24139	1.24169	68408	0	1
2020.06.25	1.24166	1.24642	1.23885	1.24173	52017	0	1
2020.06.26	1.24170	1.24365	1.23140	1.23423	43242	0	1
2020.06.29	1.23231	1.23892	1.22509	1.22976	43305	0	1
2020.06.30	1.22976	1.24012	1.22573	1.24000	45476	0	1
2020.07.01	1.23991	1.24901	1.23589	1.24739	45853	0	1
2020.07.02	1.24726	1.25296	1.24559	1.24670	42752	0	1
2020.07.03	1.24652	1.24862	1.24373	1.24740	34131	0	1
2020.07.06	1.24604	1.25197	1.24600	1.24911	41218	0	1
2020.07.07	1.24899	1.25918	1.24625	1.25431	46857	0	1
2020.07.08	1.25388	1.26227	1.25081	1.26085	48464	0	1
2020.07.09	1.26092	1.26693	1.25923	1.26057	50443	0	1
2020.07.10	1.26053	1.26638	1.25663	1.26307	39874	0	1
2020.07.13	1.26159	1.26658	1.25500	1.25536	44807	0	1
2020.07.14	1.25531	1.25632	1.24797	1.25521	52031	0	1
2020.07.15	1.25514	1.26492	1.25466	1.25863	45666	0	1
2020.07.16	1.25863	1.26241	1.25194	1.25523	42717	0	1
2020.07.17	1.25519	1.25731	1.25114	1.25690	35535	0	1
2020.07.20	1.25444	1.26651	1.25178	1.26609	42824	0	1
2020.07.21	1.26609	1.27675	1.26500	1.27302	51261	0	1
